loan_amnt,adjusted_annual_inc,pct_loan_income
4125,-3072,0.275
3600,-6528,0.3
3600,-2732,0.293159609
5000,-1528,0.294117647
5075,-2868,0.281944444
4725,-8605,0.293205088
2300,-1364,0.23
2100,-5788,0.2625
5500,-1612,0.275
1400,-104,0.14
3825,-4476,0.281332745
4950,-996,0.288058659
8000,-220,0.326530612
4150,-2886,0.265311341
3250,-2788,0.295454545
4200,-4248,0.291666667
3250,-372,0.260416667
2500,-4824,0.166666667
8000,-720,0.333333333
3300,-2700,0.211538462
2150,-408,0.252347418
4750,-1648,0.279411765
2000,-5612,0.125
2000,-2528,0.125
3600,-5648,0.276923077
3000,-1412,0.3
5500,-4720,0.275
2100,-1300,0.123529412
6625,-1720,0.288043478
3600,-1648,0.211764706
4800,-5112,0.290909091
2400,-2260,0.3
4500,-6612,0.3
4000,-2328,0.277777778
3625,-4008,0.264521308
4950,-648,0.275
4000,-4644,0.288101412
2600,-1900,0.236363636
4000,-2195,0.244902957
2400,-4788,0.266666667
4375,-2528,0.2734375
6250,-372,0.294256121
3625,-1612,0.18125
1000,-1788,0.083333333
2000,-9648,0.222222222
4950,-1148,0.282857143
2500,-699,0.256963717
3000,-3588,0.294117647
3000,-3528,0.2
4000,-5168,0.299401198
1700,-5332,0.136
4000,-300,0.222222222
3000,-72,0.166666667
3000,-2300,0.1875
1000,-3240,0.084345479
1200,-6728,0.12
2000,-648,0.111111111
3250,-648,0.180555556
1200,-1224,0.08
3250,-3072,0.216666667
3000,-1160,0.3
1200,-3640,0.083916084
5400,-648,0.3
3000,-1072,0.176470588
4000,-172,0.285714286
3000,-1224,0.215517241
3100,-10070,0.211604096
5000,-1720,0.217391304
4850,-1824,0.269444444
2625,-2900,0.2625
5375,-1612,0.26875
4000,-720,0.166666667
5875,-112,0.273255814
3250,-2166,0.279642058
2000,-1516,0.25
1500,-1764,0.158227848
2000,-9780,0.238095238
4950,-712,0.291176471
4950,-4112,0.282857143
5375,-648,0.298611111
2700,-306,0.260869565
2400,-5727,0.194410693
2500,-528,0.138888889
2875,-1868,0.2875
2000,-72,0.213675214
5500,-1705.2,0.287014424
4000,-1712,0.25
5000,-6720,0.277777778
3000,-1320,0.128205128
2000,-8528,0.2
2650,-244,0.240909091
1200,-11148,0.16
1000,-5940,0.083333333
3500,-1044,0.173611111
2400,-10028,0.282352941
3825,-5448,0.297619048
5500,-4932,0.27794623
4375,-4824,0.291666667
3000,-2360,0.3
4000,-720,0.166666667
4125,-3300,0.275
3000,-108,0.26371308
4950,-828,0.279661017
2400,-2648,0.15
2000,-6720,0.111111111
3250,-456,0.183990036
3825,-1244,0.294230769
4375,-2681.35,0.284263498
2000,-2528,0.125
2725,-3300,0.181666667
4125,-3266,0.268170589
4950,-648,0.275
2500,-4152,0.249500998
2125,-7144,0.265625
3250,-4524,0.270833333
2400,-11520,0.266666667
1950,-2628,0.211038961
4375,-3972,0.291666667
4125,-3832,0.294642857
1000,-8648,0.1
4950,-648,0.275
3000,-14540,0.294695481
3000,-320,0.3
3000,-8528,0.3
4400,-3528,0.293333333
4125,-4528,0.294642857
2400,-788,0.184615385
4450,-4824,0.296666667
2950,-356,0.295
2225,-648,0.224747475
3000,-1208,0.3
3000,-3032,0.3
3200,-3300,0.213333333
2500,-5712,0.208333333
3600,-756,0.296442688
3625,-993,0.206729398
3600,-6831,0.27707227
5000,-648,0.277777778
3000,-2172,0.178571429
3100,-5712,0.258333333
4750,-2408,0.294665012
2800,-528,0.155555556
2500,-72,0.138888889
5000,-180,0.277777778
3200,-4824,0.213333333
5500,-4720,0.275
4500,-3300,0.3
3000,-6528,0.25
3625,-5648,0.278846154
2000,-120,0.209643606
3600,-6148,0.288
1850,-7040,0.185
4450,-2648,0.278125
2700,-684,0.25
1950,-1736,0.195
2700,-1560,0.253950339
1400,-6648,0.116666667
3000,-788,0.230769231
1000,-5868,0.066666667
2075,-5952,0.17120462
4750,-4720,0.2375
4750,-2528,0.296875
4500,-2808,0.284090909
1500,-5968,0.11829653
5375,-6720,0.298611111
2750,-3612.92,0.258675506
2750,-276,0.298783138
4950,-300,0.275
2750,-1800,0.250729395
2000,-144,0.133333333
2000,-3412,0.181818182
3300,-3772,0.3
4000,-4648,0.285714286
3600,-6648,0.3
4000,-712,0.235294118
3000,-6528,0.25
3500,-5028,0.259259259
3600,-1477.2,0.154886675
2400,-6648,0.2
4750,-8220,0.287878788
3675,-648,0.204166667
3250,-8704,0.26
4000,-2712,0.266666667
3500,-4648,0.25
4750,-1648,0.279411765
1200,-472,0.085714286
2000,-6300,0.166666667
3050,-3516,0.203170797
2100,-2856,0.291666667
6350,-1720,0.276086957
5275,-868,0.26375
1800,-8648,0.18
2500,-5868,0.166666667
6300,-3720,0.3
3600,-1728,0.24
2700,-1160,0.27
5575,-2052,0.296290391
3250,-3720,0.154761905
4500,-5520,0.3
2100,-192,0.175
4950,-1972,0.291176471
4950,-2624,0.287790698
4000,-3528,0.266666667
4000,-5364,0.276625173
1000,-7040,0.1
3250,-940,0.295454545
2700,-1608,0.28125
5750,-1512,0.286069652
2875,-324,0.289351852
2875,-1404,0.278261711
1400,-1380,0.164319249
5750,-3720,0.273809524
4000,-172,0.285714286
3000,-360,0.217202433
3300,-6648,0.275
2100,-5040,0.175
2000,-2904.96,0.225860075
5125,-5200,0.26255123
1400,-3648,0.093333333
3600,-220,0.146938776
6000,-4720,0.3
4000,-564,0.222667557
1500,-528,0.083333333
2750,-1759.2,0.262084477
6625,-1720,0.288043478
3600,-2244,0.3
5000,-12,0.231481481
2000,-3528,0.133333333
3825,-5520,0.19921875
3000,-4309.2,0.214426623
4000,-3712,0.285714286
5375,-1868,0.282894737
4000,-4984,0.269541779
3250,-900,0.270833333
2700,-440,0.27
4000,-5028,0.296296296
2000,-9720,0.133333333
4375,-3648,0.291666667
3000,-3720,0.142857143
4125,-2040,0.275
5600,-868,0.28
2600,-4648,0.185714286
1200,-8528,0.12
5075,-212,0.29
3000,-7712,0.3
4500,-3612,0.25
2000,-2136,0.222222222
1775,-12720,0.147916667
3850,-4824,0.256666667
4950,-1450,0.293768546
4950,-1808,0.293942993
4375,-5868,0.291666667
3000,-2360,0.3
3000,-8528,0.3
3075,-360,0.25625
2000,-9028,0.210526316
4000,-6023,0.213938065
5500,-75.15,0.296131181
4800,-5612,0.3
2000,-4648,0.142857143
2000,-3120,0.277777778
6000,-720,0.25
1875,-1172,0.144230769
3500,-1788,0.291666667
1800,-300,0.24
2400,-528,0.133333333
3250,-2744,0.262096774
3500,-3728,0.269230769
4500,-3648,0.3
1450,-720,0.060416667
3300,-9804,0.289473684
5375,-648,0.298611111
5000,-4720,0.25
2500,-4212,0.185185185
3300,-6528,0.275
4375,-2528,0.2734375
2700,-2678,0.170347003
3000,-260,0.3
5175,-528,0.2875
5175,-2196,0.293567052
2400,-3712,0.171428571
4375,-3648,0.291666667
1500,-1028,0.085714286
1200,-8612,0.092307692
3000,-4783.2,0.290900628
6075,-612,0.289285714
2700,-4720,0.135
1200,-4922,0.088196384
3125,-648,0.173611111
1725,-8648,0.1725
2700,-4108,0.185694635
3250,-6056,0.260583708
2375,-1116,0.282738095
5800,-868,0.29
5375,-1824,0.298611111
1750,-9276,0.189148292
4775,-1612,0.23875
2125,-2528,0.1328125
4125,-4180,0.294642857
